,id,q_format,a_format
77,G1,In how many quarters is [Course] offered?,Number
78,G1,When is [Course] offered?,String
79,G1,When is [Course] available?,String
80,G1,When can I take [Course]?,String
81,G1,Is [Course] offered during [Quarter]?,Yes or No
82,G1,Can I take [Course] in the [Quarter]?,Yes or No
83,G1,Does [Course] fulfill more than one requirement?,Yes or No
84,G1,Can I use [Course] to fulfill more than one requirement?,
85,G1,Do any courses from [Department] fulfill[Requirement]?,Yes [Course] or No
86,G1,Can I take a class from [Department] to meet [Requirement]?,Yes [Course] or No
89,G1,What are the tech electives for [Major]?,[Course(s)]
90,G1,What courses are electives for [Major]?,[Course(s)]
91,G1,What electives can I take to get a [Major]?,[Course(s)]
92,G1,Is [Course] a tech elective for [Major]?,Yes or No
93,G1,Can I take [Course] as a tech elective for [Major]?,Yes or No
94,G1,How many units is [Course]?,Number
95,G1,How many units does [Course] have?,Number
96,G1,How many units does [Course] fulfill?,Number
97,G1,What does [Course] fulfill?,[Course.fulfill]
98,G1,Does [Course] fulfill anything?,Yes or No
99,G1,What requirements does [Course] fulfill?,[Requirement(s)]
100,G1,How many lectures does [Course] have?,Number
101,G1,How many times a week does [Course] week?,Number
102,G1,How many lectures make up [Course]?,Number
103,G1,Does [Course] have a lab?,Yes or No
104,G1,Do I have to take a lab with [Course]?,Yes or No
105,G1,How many labs does [Course] have?,Number
109,G1,Does [Course] have any prerequisites?,Yes or No
111,G1,How many prerequisites does [Course] have?, Number
112,G1,Are there any prerequisites for [Course]?,Yes or No
113,G1,What classes can I take instead of [Course]?,[Course(s)]or None
114,G1,What are alternatives to [Course]?,[Course(s)]or None
115,G1,Are there any alternatives for [Course]?,Yes or No
116,G1,How many alternative does [Course] Have?, Number
117,G1,Can I take something else instead of [Course]?,Yes or No
118,G1,Can I take [Course] instead of [Course]?,Yes or no
119,G1,What courses substitute [Course]?,[Course(s)]or None
0,D2 , Does [teacher] do any [research area] research? ," [yes/no], [teacher] [does/doesnÕt] do research in [research area]."
1,D2 , Does [teacher] do [research area] and [research area]? ," [yes/no], [teacher] [does/doesnÕt] do research in [research area] and [research area]."
2,D2 , Which teachers do [research area] and [research area]? , These [teacher]Õs do [research area] and [research area].
3,D2 , Does [teacher] do [research area] and [research area] research ," [yes/no], professor [does/doesnÕt] do research in [research]."
4,D2 , Which teachers do research on [research area]? , [teachers] all do research in [research area].
5,D2 , Do more than [num] professors do research in [research area]? ," [yes/no], [more than/less than] [num] professors do research in [research area]."
6,D2 , What are [teacher]Õs research areas? , [teacher]Õs research areas are [research areas].
7,D2 , Do any professors do research in [research area]? ," [yes/no], professors [do/donÕt do] research in [research area]."
8,D2 , How many different research areas are covered by our professors? , Our professors cover [num of research areas] research areas.
9,D2 , What research areas are covered by our professors? , [research areas] are covered by our professors.
10,D2 , What is the average number of research areas covered by our professors? , [average number of research areas] is the average number of research areas covered by our professors.
11,D2 , How many professors do both [research] and [research]? , [num professors] do research in both [research area] and [research area].
12,D2 , Is [research area] covered by any of our professors? [yes/no] [research area] [is/ is not] covered by CS Professors.,
13,D2 , What are the [num] most popular research areas? , Top [num] research areas are [research areas].
14,D2 , Who researches [research area]? , [teachers] Êresearches [research area].
15,D2 , How many research areas does [teacher] have? , [teacher] has [num research areas].
16,D2 , Did [teacher] submit a funding proposal in [year]? ," [yes/no], [teacher] [did/didnÕt] submit a funding proposal in [year]."
17,D2 , How much did [teacher]Õs funding proposals accumulate to in [year]? , [teacher]Õs funding proposals accumulated to [total accumulated] in [year].
18,D2 , How much research funding was [teacher] awarded in [year]? , [teacher]Õs funding proposals accumulated to [total accumulated] in [year].
19,D2 , How much research funding was awarded to the CS Department in [year]? , The CS department was awarded [total accumulated] in [year].
20,D2 , What are the titles of [teacher]Õs funding proposals in [year]? , [teacher] worked on [research titles] in [year].
21,D2 , What are the titles of [teacher]Õs funding proposals in [quarter and year]? , [teacher] requested funding under the following titles: [research titles].
22,D2 , How many research databases does the CS department have access to? , The CS department has access to [number of databases].
23,D2 , How much in research grants did Computer science obtain in [year]? , The CS department was awarded [total accumulated] in [year].
24,D2 , What percentage of total Engineering research grants did Computer science obtain in [year]? , Computer Science obtained [percent]% of all research grants in [year].
25,D2 , How many research grants were awarded to CS in [year]? , CS was awarded [num grants] in [year]
26,D2 , How many research grants were awarded to CS in [quarter and year]? , [num] research grants were awarded to CS in [quarter and year].
27,D2 , Which sponsors funded research grants in [year]? , These sponsors funded research grants in [year]: [sponsors].
28,D2 , Did [sponsor] fund any research in [year]? ," [yes/no], [sponsor] [did/didnÕt] fund any research in [year]."
29,D2 , Was [teacher] awarded a grant in [year]? ," [yes/no], [teacher] [was/wasnÕt] awarded a grant in [year]."
30,D2 , Which professors were awarded at least one grant in [year]? , These professors were awarded at least one grant in [year]: [teachers].
31,D2 , Which professors were awarded multiple grants in [year]? , These professors were awarded at least multiple grants in [year]: [teachers].
32,D2 , How many research projects did [sponsor] fund in [year]? , [Sponsor] funded [num] research projects in [year].
33,D2 , How much money did [sponsor] award in [year]? , [sponsor] awarded [num] in research awards in [year].
34,D2 , What are the GDOÕs of research grants done in [year]? , The GDOÕs of research grants awarded in [year] are: [GDO-Number].
35,D2 , Is GDO Number [GDO-Number] from [year]? , [yes/no] [GDO-Number] [was/was not] from [year].
36,D2 , Was [teacher] involved with GDO Number [GDO-Number] in [year]? , [yes/no] [teacher] [was/was not] involved in [GDO-Number] in [year].
37,D2 , WhatÕs the average research grant size in [year]? , The average research grant size was [average grant size] in [year].
38,D2 , What is the largest research funding proposal in [year]? , The largest research funding proposal in [year] was [num].
39,D2 , What was the smallest research funding proposal in [year]? , The smallest research funding proposal in [year] was [num].
40,D2 , What was the largest funding grant awarded in [year]? , The largest research funding proposal in [year] was [num].
41,D2 , What was the smallest funding grant awarded in [year]? , The smallest research funding proposal in [year] was [num].
42,D2 , Which professor had the most proposals in [year]? , [teacher] had the most proposals in [year].
43,D2 , Who had the most proposals in [year]? , [teacher] had the most proposals in [year]. 
44,D2 , How many proposals has [teacher] written at Cal Poly? , [teacher] was written [num] proposals at Cal Poly.
45,D2 , Does [teacher] have a website? , [yes/ no] [teacher] [does/ does not] have a website.
46,D2 , What is [teacher]Õs website? , [website] is [teacher]Õs website.
47,D2 , Where can I learn more about [teacher]? , [website] is [teacher]Õs website.
48,D2 , Does [teacher] Êhave a Cal Poly website? ," [yes/no], [teacher] [has/ doesnÕt have] a Cal Poly website."
49,D2 , Does [teacher] Êhave more than [num] website listed? ," [yes/no], [teacher] [has/doesnÕt have] more than [num] websites listed."
50,D2 , What classes does [teacher] teach? , [teacher] teaches the following classes: [classes].
51,D2 , Does [teacher] teach [class name]? ," [yes/no], [teacher] [does/ does not] teach [class name]."
52,D2 , Is [teacher] teaching [class name] this quarter? ," [yes/no], [teacher] [is/ is not] teaching [class. name] "
53,D2 , What time is [class name] taught by [teacher]? , [class name] is taught from [time].
54,D2 , Does [teacher] teach a class on [day of week]? ," [yes/ no], [teacher] [does/ does not] teach a class on [day of week]."
55,D2 , Is [day of week] a class day for [teacher]? ," [yes/ no], [day of week] [is/ is not] a class day for [teacher]."
56,D2 , What time does [teacher] teach on [day of week]? , [teacher] teacher from [time] on [day of the week].
57,D2 , What time does [teacher] teach [class name]? , [teacher] teaches [class name] from [time].
58,D2 , Is [teacher] currently teaching [class name] ? ," [yes/ no], [teacher] [is/ is not] currently teaching [class name]."
59,D2 , How many sections of [class name] does [teacher] teach? , [teacher] is teaching [num_sections] of [class name].
60,D2 , Has [teacher] taught [class name] before? ," [yes/ no], [teacher] [has/hasnÕt] taught [class name] before."
61,D2 , Will [teacher] teach [class name] in the future? ," [yes/ no], [teacher] [will/ will not] teach [class name]."
62,D2 , Is there a syllabus for [teacher]Õs [class name]? , [yes/no] there [is/ isnÕt] a syllabus for [teacher]Õs [class name].
63,D2 , What room is [teacher]Õs [class name] in? , [teacher]Õs [class name] is in [room].
64,D2 , Does [teacher] teach any classes in [building name]? ," [yes/ no], [teacher] [does/ doesnÕt] have a class in [building name]."
65,D2 , What buildings does [teacher] teach in? , [teacher] teaches in [building list].
66,D2 , What teachers teach a class in [building name]? , [teacher list] teach in [building name].
67,D2 , Which classes are taught in [building name]? , [class list] are taught in [building name].
68,D2 , Is [classname] taught in [building name]? ," [yes/no], [class name] [is/isnÕt] taught in [building name]."
69,D2 , How many students does [teacher] currently teach between all their classes? , [teacher] teaches [num students] in all their classes. 
70,D2 , Does [building name] have any [class name] classes in it? , [yes/no] [building name] [has/does not have] [class name] in it.
71,D2 , What time are all [teacher]Õs classes taught? , [teacher] teaches at [class times].
72,D2 , What classes are [teacher] teaching next quarter? , [teacher] is teaching [class list] next quarter.
73,D2 , When is [teacher]Õs office hours? , [teacher]Õs office hours are [days: times].
74,D2 , Does [teacher] have office hours on [day]? , [yes/no] [teacher]Õs office hours are [day: time].
75,D2 , Does [teacher] have office hours right now? , [yes/no] [teacher]Õs office hours are [day: time].
76,D2 , Does [teacher] have office hours later today? , [yes/no] [teacher]Õs office hours are [day: time].
77,D2 , Does [teacher] have office hours tomorrow? , [yes/no] [teacher]Õs office hours are [day: time].
78,D2 , Where is [teacher]Õs office? , [teacher] has office hours in [office location]
79,D2 , Do any teachers have office hours in [building name]? , [yes/no] [teacher]Õs office hours are in [office location]
80,D2 , Does [teacher] have office hours in [building name]? , [yes/no] [teacher]Õs office hours are in [office location]
81,D2 , ÊHow many office hours does [teacher] have this week? , [teacher] has [number of office hours] office hours.
82,D2 , What is [teacher]Õs email? , [teachers]Õs email is [email].
83,D2 , How can I email [teacher]? , [teachers]Õs email is [email].
84,D2 , What is the email of [teacher]? , [teachers]Õs email is [email].
85,D2 , Is [email-address] the email of [teacher]? ," [yes/no], [teachers]Õs email is [email]."
86,D2 , Is [email-address] [teacher]Õs email address? ," [yes/no], [teachers]Õs email is [email]."
87,D2 , Is [teacher]Õs email listed? , [yes/no].
88,D2 , What is [teacher]Õs average PolyRating? , [teacher]Õs PolyRating is [PolyRating].
89,D2 , What classes does [teacher] have PolyRatings for? , [teacher] has PolyRatings for [classes].
90,D2 , How many PolyRatings does [teacher] have? , [teacher] has [number of PolyRatings] PolyRatings.
91,D2 , Is [teacher]Õs PolyRating above [number]? ," [yes/no], [teacher]Õs Polyrating is above [number]."
92,D2 , Is [teacher] reviewed on PolyRatings? ," [yes/no], [teacher] [is/isnÕt] reviewed on PolyRatings."
93,D2 , Does [teacher] have a PolyRating? ," [yes/no], [teacher] [does/doesnÕt] have a PolyRating."
94,D2 , Does [teacher] have a PolyRating for [class name]? ," [yes/no], [teacher] [does/doesnÕt] have a PolyRating for [class name]."
95,D2 , How many PolyRatings does [teacher] have for [class name]? , [teacher] has [number of PolyRatings] for [class].
96,D2 , When is the most recent PolyRating for [teacher]? , The most recent PolyRating for [teacher] is: [review].
97,D2 , When is the most recent PolyRating for [teacher]Õs [class name]? , The most recent PolyRating for [teacher] is: [review].
98,D2 , What is the sentiment for [class] taught by [teacher]? , The sentiment of [class] by [teacher] is [sentiment].
99,D2 , Which CS professor has the highest PolyRating? , [teacher] has the highest PolyRating.
100,D2 , Which CS professors have PolyRatings higher than [rating threshold]? , [teacher] Ê[has/have] PolyRatings higher than [rating threshold].
101,D2 , What level of professor is [teacher]? , [teacher] is a [level].
102,D2 , Is [teacher] a/an [level]? ," [yes/no], [teacher] [is/isnÕt] a [level]."
103,D2 , List all [level of teacher] level professors. , [teacher] Ê[is/are] [level].
104,D2 , Is Cal Poly hiring for CS right now? ," [yes/no], Cal Poly [is/isnÕt] hiring for CS right now."
105,D2 , Who is the department chair? , [teacher] is the department chair.
106,D2 , How many professors are there at Cal Poly? , There are [number of teachers] at Cal Poly.
107,D2 , Is [teacher] a professor at Cal Poly? ," [yes/no], [teacher] [is/isnÕt] a professor at Cal Poly."
108,D2 , What is professor [last name of professor]Õs first name? , [teacher]Õs first name is [first name]
109,D2 , Does [teacher] currently teach at Cal Poly? ," [yes/no], [teacher] [does/doesnÕt] currently teach at Cal Poly."
110,D2 , What is [teacher]Õs phone number? , [teacher]Õs phone number is [phone number].
111,D2 , What is the phone number for [teacher]? , [teacher]Õs phone number is [phone number].
112,D2 , How many phone numbers are listed for [teacher]? , [teacher] has [num] phone numbers.
113,D2 , Does [teacher] have more than [num] phone numbers listed? , [yes/no] [teacher] [does/does not] have more than [num] phone numbers listed.
114,D2 , Does [teacher] have a phone number listed? ," [yes/no], [teacher] [does/doesnÕt] have a phone number listed."
115,D2 , Is there a phone number listed for [teacher]? ," [yes/no], there [is/isnÕt] a phone number listed for [teacher]."
116,D2 , How many [category] are there for the CS department? , There are [number of teachers] at Cal Poly.
117,D2 , Are there [category] in the CS department? ," [yes/no], there are [category] in the CS department."
118,D2 , Who are the [category] for the CS department? , [teacher] Ê...are the [category].
119,D2 , Is [teacher] a/an [category]? ," [yes/no], [teacher] [is/isnÕt] a [category]."
0,F1,How many GEs do I have to take in [major]?,You need to take [major-ge-units] units to graduate in [major].
1,F1,How many general educations do I have to take in [major]?,You need to take [major-ge-units] units to graduate in [major].
2,F1,How many general education classes do I have to take in [major]?,You need to take [major-ge-units] units to graduate in [major].
3,F1,What GEs satisfy area [ge-area]?,GE area [ge-area] includes the following courses: [ge-area-course-names].
4,F1,What general educations satisfy area [ge-area]?,GE area [ge-area] includes the following courses: [ge-area-course-names].
5,F1,What courses are included in GE area [ge-area]?,GE area [ge-area] includes the following courses: [ge-area-course-names].
6,F1,What courses are included in general education area [ge-area]?,GE area [ge-area] includes the following courses: [ge-area-course-names].
7,F1,What is the subject of GE area [ge-area]?,The subject of GE area [ge-area] is [ge-area-subject].
8,F1,What is the subject of general education area [ge-area]?,The subject of GE area [ge-area] is [ge-area-subject].
9,F1,What are the general education areas?,The general education areas are [ge-area-list].
10,F1,What are the GE requirements?,The GE requirements are the following: [ge-requirements].
11,F1,What are the general education requirements?,The GE requirements are the following: [ge-requirements].
12,F1,What GE areas are considered [division-level]?,The following GE areas are considered [division-level]: [division-ge-area-list].
13,F1,What general education areas are considered [division-level]?,The following GE areas are considered [division-level]: [division-ge-area-list].
14,F1,How many units of electives do I need for [major]?,You need [ge-elective-units-major] of electives to graduate in [major].
15,F1,What is the total number of units of electives needed to graduate in [major]?,You need [ge-elective-units-major] of electives to graduate in [major].
16,F1,How many approved electives do I have to take for the [minor]?,You have to take [minor-approved-electives-units] approved electives for the [minor].
17,F1,What are the approved electives I can take for a [minor]?,The approved electives for a [minor] are [approved-electives-minor]
18,F1,What courses may I choose that satisfy the [elective-type] requirement?,"In order to satisfy the [elective-type] requirement, you may choose from the following courses: [elective-type-course-names]."
19,F1,What are the courses that help me satisfy the [elective-type] requirements?,"In order to satisfy the [elective-type] requirement, you may choose from the following courses: [elective-type-course-names]."
20,F1,How many units of [elective-type] do I have to take?,You need to take [elective-type-units] in [elective-type].
21,F1,What courses can I take instead of [course] for [major]?,You could take any of [major-course-alternatives-list] instead of [course] for [major].
22,F1,Are there any alternatives to [course] for [major]?,You could take any of [major-course-alternatives-list] instead of [course] for [major].
23,F1,What CSSE courses are offered in [season]?,The CSSE courses typically offered in [season] are [season-course-names].
24,F1,What computer science and software engineering courses are offered in [season]?,The CSSE courses typically offered in [season] are [season-course-names].
25,F1,How many CSSE courses will be available during the [season] quarter?,There are [number-season-courses] CSSE courses typically offered during [season] quarter.
26,F1,How many computer science and software engineering courses will be available during the [season] quarter?,There are [number-season-courses] CSSE courses typically offered during [season] quarter.
27,F1,What are the courses that are in both CSC and SE curriculum?,The courses that are common for both the departments are [overlapping-courses-list].
28,F1,What are the courses that are in both Computer Science and SE curriculum?,The courses that are common for both the departments are [overlapping-courses-list].
29,F1,What are the courses that are in both Computer Science and Software Engineering curriculum?,The courses that are common for both the departments are [overlapping-courses-list].
30,F1,What courses are cross listed as CSC and SE?,The courses that are common for both the departments are [overlapping-courses-list].
31,F1,What courses are cross listed as Computer Science and SE?,The courses that are common for both the departments are [overlapping-courses-list].
32,F1,What courses are cross listed as Computer Science and Software Engineering?,The courses that are common for both the departments are [overlapping-courses-list].
33,F1,How many courses are present in both CSC and SE?,The number of courses that are common in both the departments are [overlapping-courses-list].
34,F1,How many courses are present in both Computer Science and SE?,The number of courses that are common in both the departments are [overlapping-courses-list].
35,F1,How many courses are present in both Computer Science and Software Engineering?,The number of courses that are common in both the departments are [overlapping-courses-list].
36,F1,What are the graduate level courses?,The graduate level courses in CSC are [graduate-courses-list].
37,F1,What are all the courses in [major] that are of [course-units] units?,The following courses count for [course-units] units: [major-course-names-of-units].
38,F1,What is the CSSE mission statement?,The CSSE mission statement is [csse-mission-statement].
39,F1,What is the computer science and software engineering mission statement?,The CSSE mission statement is [csse-mission-statement].
40,F1,What are the program educational objectives for the [major]?,The program educational objectives for the [major] are [major-peos].
41,F1,What are the learning outcomes of [major]?,The learning outcomes for the [major] are [major-learning-outcomes-list].
42,F1,What are the learning outcomes of the GE program?,The GE programâs learning outcomes are the following: [ge-learning-outcomes].
43,F1,What are the learning outcomes of the general education program?,The GE programâs learning outcomes are the following: [ge-learning-outcomes].
44,F1,What are the general education learning outcomes?,The GE programâs learning outcomes are the following: [ge-learning-outcomes].
45,F1,What are the learning outcomes for [major]?,The learning outcomes for the [major] are [major-learning-outcomes-list].
46,F1,What are the learning objectives for the MS in Computer Science?,The learning objectives for the MS in Computer Science are [ms-learning-objectives].
47,F1,What are the learning objectives for the Masters Degree in Computer Science?,The learning objectives for the MS in Computer Science are [ms-learning-objectives].
48,F1,What are the [major] courses?,The [major] courses are [major-courses].
49,F1,What are the courses required for [major]?,The [major] courses are [major-courses].
50,F1,How many courses do we have in [major]?,The number of courses in [major] are: [total-num-of-courses].
51,F1,What courses are important to transfer into Computer Science?,"In order to maximize your chance of election, you should take the following courses: [transfer-courses]."
52,F1,What courses do I need to take to transfer into Computer Science?,"In order to maximize your chance of election, you should take the following courses: [transfer-courses]."
53,F1,What are some [major] resources that are available?,These are some that are available to you: [major-resources].
54,F1,What resources are there for [major]?,These are some resources that are available to you: [major-resources].
55,F1,Where can I get advising for a [major]?,These are some resources that are available to you: [major-resources].
56,F1,What are the course numbers that are considered independent study in [major]?,The courses that are considered independent study are: [independent-study-courses].
57,F1,What are some independent study course that I have available?,The courses that are considered independent study are: [independent-study-courses].
58,F1,What is the minimum number of upper division units needed to graduate with a BS in Computer Science?,The minimum number of upper division units need to graduate with a BS in Computer Science are [minimum-upper-division-units].
59,F1,What is the minimum number of upper division units needed to graduate with a Bachelors Degree in Computer Science?,The minimum number of upper division units need to graduate with a BS in Computer Science are [minimum-upper-division-units].
60,F1,How many [division-level] units are required for a [minor]?,The [minor] requires [minor-division-units] [division-level] units.
61,F1,How many [division-level] units does [minor] require?,The [minor] requires [minor-division-units] [division-level] units.
62,F1,How many units does the [minor] require?,The [minor] requires [minor-required-units] required units and [minor-approved-elective-units] approved elective units.
63,F1,How many units do I need for a [minor]?,The [minor] requires [minor-required-units] required units and [minor-approved-elective-units] approved elective units.
64,F1,What are the general requirements for a minor at Cal Poly?,The general requirements for a minor at Cal Poly are [minor-general-requirements]. 
65,F1,What are the steps to apply for the [minor]?,You need to take [minor-steps] to attain a  [minor].
66,F1,How do I apply for a [minor]?,You need to take [minor-steps] to attain a [minor].
67,F1,What are the required courses for the [minor]?,The required courses for the [minor] are: [required-minor-courses].
68,F1,What is the minimum CGPA required to apply for minor in Computer Science?,You have to maintain a CGPA of [minimum-gpa-minor] or higher to apply for a minor in Computer Science. 
69,F1,What is the minimum Cumulative Grade Point Average required to apply for minor in Computer Science?,You have to maintain a CGPA of [minimum-gpa-minor] or higher to apply for a minor in Computer Science. 
70,F1,What are the prerequisites for the [minor]?,You need to meet the following requirements to apply for the [minor]: [minor-prerequisites].
71,F1,Where can I get the application for the [minor]?,You can access the application for the [minor] in the following link: [minor-application-link].
72,F1,Where can I get the flowchart for the [minor]?,You can access the flowchart for CSSE students pursuing a [minor] in the following link: [minor-flowchart-link].
73,F1,What courses should I take each quarter for the [minor]?,"In order to determine what courses you should take each quarter in order to pursue the [minor], you should visit the minorâs flowchart. You can access the flowchart for CSSE students pursuing a [minor] in the following link: [minor-flowchart-link]."
74,F1,How many units do I need to graduate?,You need [graduation-units] total units to graduate.
75,F1,What are the mandatory classes that I have to take in order to graduate?,You need to take [all-required-course-list] to graduate.
76,F1,What classes do I have to take in order to graduate?,You need to take [all-required-course-list] to graduate.
77,F1,Can I double count the [elective-name] elective?,[elective-is-double-countable].
78,F1,What classes can I double count?,"The classes: [double-countable-classes], may be double counted."
79,F1,How many classes do I have to take for [major]?,You need to take [total-units] units worth of classes for [major]. The total number of classes may vary.
80,F1,What is the total number of classes needed to graduate in [major]?,You need to take [total-units] units worth of classes for [major]. The total number of classes may vary.
81,F1,What concentrations are available?,The following concentrations are available [concentration-list].
82,F1,How do I declare [concentration] concentration?,You need to complete the following steps [concentration-type-steps]
83,F1,What are the required courses for the [concentration]?,The required courses for the [concentration] are [concentration-required-courses].
84,F1,What GPA do I need to graduate?,You need a GPA of at least [minimum-grad-gpa] to graduate as a CSSE major.
85,F1,What is the minimum GPA?,You need a GPA of at least [minimum-grad-gpa]  to graduate as a CSSE major.
86,F1,What GPA do I need to attain an honor?,The following Honors are available [honors-gpa-list].
87,F1,What honors are available?,The following Honors are available [honors-gpa-list].
88,F1,What GPA do I need to obtain [honor-name]?,The following Honors are available [honors-gpa-list].
89,F1,What honor am I eligible for with a GPA of [gpa-number]?,The following Honors are available [honors-gpa-list].
90,F1,Can I take classes as credit/no credit?,You may not take any major classes as credit/no credit.
91,F1,Can I take classes as pass/no pass?,You may not take any major classes as credit/no credit.
92,F1,How many units do I need to take to be considered a [class-level]?,"In order to be considered a [class-level], you have to take [class-level-units]."
93,F1,"If I have taken [num-units], what class level am I considered?","If you have taken [num-units], you are considered a [class-level] student."
94,F1,"If I have taken [num-units], what division level am I considered?","If you have taken [num-units], you would be considered a [division-level] student."
95,F1,How many units do I need to take to be considered [division-level]?,"In order for you to be considered [division-level], you must take [division-level-units]."
96,F1,How many units do transfer applicants need prior to transfer as a CSSE major?,Transfer applicants need a minimum of [transfer-min-units] completed prior to transfer.
97,F1,How many units do transfer applicants need prior to transfer as a computer science and software engineering major?,Transfer applicants need a minimum of [transfer-min-units] completed prior to transfer.
98,F1,What courses articulate to apply as a CSSE transfer student?,The courses that articulate are [transfer-articulate-courses].
99,F1,What courses articulate to apply as a computer science and software engineering transfer student?,The courses that articulate are [transfer-articulate-courses].
100,F1,What are some general guidelines for a CSSE transfer student?,The general guidelines are [csse-transfer-guidelines].
101,F1,What are some general guidelines for a computer science and software engineering transfer student?,The general guidelines are [csse-transfer-guidelines].
102,F1,What is the minimum amount of transferable units required to transfer as a CSSSE major?,Transfer applicants need a minimum of [transfer-min-units] completed prior to transfer.
103,F1,What is the minimum amount of transferable units required to transfer as a CSSSoftware Engineering major?,Transfer applicants need a minimum of [transfer-min-units] completed prior to transfer.
104,F1,What courses are desired but not required if I want to transfer as a CSSE major?,If you want to transfer as a CSSE major the following classes are desired: [major-transfer-course-list]
105,F1,What courses are desired but not required if I want to transfer as a computer science and software engineering major?,If you want to transfer as a CSSE major the following classes are desired: [major-transfer-course-list]
106,F1,What courses are required If I want to transfer as a CSSE major?,If you want to transfer as a CSSE major you need the following course: [major-transfer-course-list]
107,F1,What courses are required If I want to transfer as a computer science and software engineering major?,If you want to transfer as a CSSE major you need the following course: [major-transfer-course-list]
108,F1,Where can I get more information on [subject]?,We donât have information about [subject] but please refer to [bot-name].
109,F1,How can I contact the CSSE department?,You can contact the CSSE department at [department-contact-info].
110,F1,How can I contact the computer science and software engineering department?,You can contact the CSSE department at [department-contact-info].
111,F1,What is the phone number of the CSSE department?,[phone-number] is the CSSE phone number
112,F1,What is the phone number of the computer science and software engineering department?,[phone-number] is the CSSE phone number
113,F1,How can I contact the CSSE department?,[phone-number] is the CSSE phone number.
114,F1,How can I contact the computer science and software engineering department?,[phone-number] is the CSSE phone number.
115,F1,Who are the minor advisors for [minor]?,The minor advisors for [minor] are [minor-advisors]. 
116,F1,Who can I contact to get more information about the [minor]?,You can contact [minor-advisors] to learn more about [minor].
117,F1,Who can I contact if I have questions about [minor]?,"If you have questions about [minor], you may contact [contact-info]."
118,F1,Who will help me if I have doubts about [minor]?,"If you have questions about [minor], you may contact [contact-info]."
119,F1,What steps do I need to follow to request a change of major?,"In order to request a change in major, follow these steps: [change-major-steps]."
120,F1,How can I request a change of major?,"In order to request a change in major, follow these steps: [change-major-steps]."
121,F1,What are the basic criteria when requesting a change of major?,The basic criteria to request a change of major are [change-major-criteria] .
122,F1,What conditions are part of the change of major agreement?,The conditions present in the ICMA (Individualized Change of Major Agreement) contract are the following: [icma-conditions].
123,F1,What is the minimum GPA to transfer into CSSE?,[minimum-gpa-change-major] is the minimum GPA that is required to change into CSSE. 
124,F1,What is the minimum GPA to transfer into computer science and software engineering?,[minimum-gpa-change-major] is the minimum GPA that is required to change into CSSE. 
125,F1,"If my GPA is [gpa], can I transfer into CSSE?",[minimum-gpa-change-major] is the minimum GPA that is required to change into CSSE. 
126,F1,"If my GPA is [gpa], can I transfer into computer science and software engineering?",[minimum-gpa-change-major] is the minimum GPA that is required to change into CSSE. 
127,F1,What are the minimum requirements if I want to change into CSSE?,[minimum-gpa-change-major] is the minimum GPA that is required to change into CSSE. 
128,F1,What are the minimum requirements if I want to change into computer science and software engineering?,[minimum-gpa-change-major] is the minimum GPA that is required to change into CSSE. 
129,F1,What is the flowchart for [major] in [year-range]?,"In order to view the [year-range] flowchart for [major], visit the following link: [flowchart-link]."
130,F1,"According to the [year-range] flowchart, when should I take [course] for [major]?","In order to view the [year-range] flowchart for [major], visit the following link: [flowchart-link]."
131,F1,Where can I get the flowchart for [major]?," In order to view the [year-range] flowchart for [major], visit the following link: [flowchart-link]."
132,F1,Who is eligible for the Blended BS + MS Computer Science Program?,You must be one of the following [blended-requirements].
133,F1,Who is eligible for the Blended BS + Masters Degree Computer Science Program?,You must be one of the following [blended-requirements].
134,F1,Who is eligible for the Blended Bachelors Degree + Masters Degree Computer Science Program?,You must be one of the following [blended-requirements].
135,F1,What do I need to get into the Blended BS + MS Computer Science Program?,You must be one of the following [blended-requirements].
136,F1,What do I need to get into the Blended BS + Masters Degree Computer Science Program?,You must be one of the following [blended-requirements].
137,F1,What do I need to get into the Blended Bachelors Degree + Masters Degree Computer Science Program?,You must be one of the following [blended-requirements].
138,F1,What is the Blended BS + MS Computer Science Program?,The Blended BS + MS Computer Science Program is [blended-description].
139,F1,What is the Blended BS + Masters Degree Computer Science Program?,The Blended BS + MS Computer Science Program is [blended-description].
140,F1,What is the Blended Bachelors Degree + Masters Degree Computer Science Program?,The Blended BS + MS Computer Science Program is [blended-description].
141,F1,Why should I take the Blended Program in Computer Science?,The B.S. and M.S. program offers the following benefits: [blended-benefits].
142,F1,What are some of the benefits from the Blended Program? ,The B.S. and M.S. program offers the following benefits: [blended-benefits].
143,F1,What benefits does the blended B.S. and M.S. program offer?,The B.S. and M.S. program offers the following benefits: [blended-benefits].
144,F1,How many additional units does the MS in Computer Science require?,"The MS degree requires at least [ms-total-units] units beyond the undergraduate degree. [required-ms-units] units are from a required list, [approved-ms-elective-units] units are from approved electives, and there are [thesis-ms-units] units of thesis and seminar."
145,F1,How many additional units does the Masters Degree in Computer Science require?,"The MS degree requires at least [ms-total-units] units beyond the undergraduate degree. [required-ms-units] units are from a required list, [approved-ms-elective-units] units are from approved electives, and there are [thesis-ms-units] units of thesis and seminar."
146,F1,How can I get a Masters in Computer Science degree after satisfying the requirements of BS?,"The MS degree requires at least [ms-total-units] units beyond the undergraduate degree. [required-ms-units] units are from a required list, [approved-ms-elective-units] units are from approved electives, and there are [thesis-ms-units] units of thesis and seminar."
